name 	 betax 	 betay 	 length
BS_50A	8.64277e+01	9.12173e+01	2.19920348e+04
BS_50L	1.49288e+02	1.45410e+02	1.67234600e+02
BS_53V	7.70849e+01	7.70849e+01	3.15860000e+01
BS_53H	7.70849e+01	7.70849e+01	3.15860000e+01
BS_63V	1.56613e+02	1.63652e+02	2.84219500e+02
BS_63H	1.48569e+02	1.48569e+02	9.49760000e+01
BS_69	1.40310e+02	1.65325e+02	1.30644500e+02
BS_74	1.24337e+02	1.24337e+02	6.46100000e+01
MBW	1.38223e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92240e+02	2.10153e+02	7.45920000e+01
MQW_H	1.92240e+02	2.10153e+02	7.45920000e+01
Warm_Pipe	1.42953e+02	1.54547e+02	3.59270780e+03
