name 	 betax 	 betay 	 length
BS_50A	8.64277e+01	9.12173e+01	2.19920348e+04
BS_50L	1.49288e+02	1.45410e+02	1.67234600e+02
BS_53V	7.70797e+01	7.70798e+01	3.15260000e+01
BS_53H	7.70797e+01	7.70797e+01	3.15260000e+01
BS_63V	1.56615e+02	1.63654e+02	2.84219500e+02
BS_63H	1.48575e+02	1.48576e+02	9.49760000e+01
BS_69	1.40310e+02	1.65325e+02	1.30644500e+02
BS_74	1.24356e+02	1.24356e+02	6.46100000e+01
MBW	1.38223e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92240e+02	2.10153e+02	7.45920000e+01
MQW_H	1.92240e+02	2.10153e+02	7.45920000e+01
Warm_Pipe	1.42950e+02	1.54547e+02	3.59225980e+03
taperBS53_BS63	9.77985e+01	9.77985e+01	1.20000000e-01
taperBS63_BS74	1.50102e+02	1.50103e+02	3.08000000e-01
taperBS74_warm	1.46443e+02	1.46443e+02	1.40000000e-01
BPM61CW	5.29239e+01	5.29239e+01	1.20000000e+00
BPM61strip	1.14914e+02	1.12137e+02	1.00000000e+00
BPM80strip	1.31933e+02	1.31680e+02	1.00000000e+00
RF	1.64166e+02	2.68082e+02	8.76000000e+00
CMS	3.11664e+01	3.11664e+01	1.86000000e+01
ALICE	3.95663e+01	3.95663e+01	8.60000000e+00
LHCb	3.95663e+01	3.95663e+01	8.60000000e+00
