name 	 betax 	 betay 	 length
BS_50A	8.64225e+01	9.11924e+01	2.19920348e+04
BS_50L	1.58599e+02	1.54737e+02	1.67234600e+02
BS_53V	4.65818e+02	4.65818e+02	3.15260000e+01
BS_53H	3.88259e+02	3.88259e+02	3.15260000e+01
BS_63V	4.97827e+02	4.99564e+02	2.84219500e+02
BS_63H	8.22742e+02	8.22744e+02	9.49760000e+01
BS_69	3.19401e+02	2.99135e+02	1.30644500e+02
BS_74	5.15670e+02	5.15670e+02	6.46100000e+01
MBW	1.38629e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92240e+02	2.10154e+02	7.45920000e+01
MQW_H	1.92240e+02	2.10154e+02	7.45920000e+01
Warm_Pipe	2.54089e+02	2.55208e+02	3.59225980e+03
taperBS53_BS63	9.49847e+02	9.49847e+02	1.20000000e-01
taperBS63_BS74	1.58244e+03	1.58243e+03	3.08000000e-01
taperBS74_warm	1.54176e+03	1.54176e+03	1.40000000e-01
BPM61CW	4.62163e+02	4.62163e+02	1.20000000e+00
BPM61strip	1.10258e+03	1.13029e+03	1.00000000e+00
BPM80strip	1.36255e+03	1.36535e+03	1.00000000e+00
RF	2.18054e+02	1.21428e+02	8.76000000e+00
CMS	2.22830e+02	2.22830e+02	1.86000000e+01
ALICE	3.95663e+01	3.95664e+01	8.60000000e+00
LHCb	1.01554e+02	1.01554e+02	8.60000000e+00
