name	halfgap[m]	nsigma
TCL.4R1.B1 	0.00531639344029 	10.0
TCL.5R1.B1 	0.00295033865251 	10.0
TCL.6R1.B1 	0.000934862800287 	10.0
TCTH.4L2.B1 	0.00297029628292 	15.0
TCTVA.4L2.B1 	0.00319132569207 	15.0
TDI.4L2.B1 	0.21 	999.0
TCLIA.4R2 	0.28 	999.0
TCLIB.6R2.B1 	0.194 	999.0
TCP.6L3.B1 	0.00412443306152 	16.0
TCSG.5L3.B1 	0.00325554685211 	19.6
TCSG.4R3.B1 	0.00225548612929 	19.6
TCSG.A5R3.B1 	0.00291387647752 	19.6
TCSG.B5R3.B1 	0.00329600877904 	19.6
TCLA.A5R3.B1 	0.00644095542127 	21.6
TCLA.B5R3.B1 	0.00597802804629 	21.6
TCLA.6R3.B1 	0.00552337338615 	21.6
TCLA.7R3.B1 	0.00395125045256 	21.6
TCTH.4L5.B1 	0.00990126838556 	11.1
TCTVA.4L5.B1 	0.00629125623523 	11.1
TCL.4R5.B1 	0.00531639344124 	10.0
TCL.5R5.B1 	0.00295394068036 	10.0
TCL.6R5.B1 	0.000836644804666 	10.0
TCDQA.A4R6.B 	0.00622289926676 	12.6
TCDQA.B4R6.B 	0.00629282962165 	12.6
TCDQA.C4R6.B 	0.00636308537638 	12.6
TCSG.4R6.B1 	0.00618524101509 	12.1
TCP.D6L7.B1 	0.00109366327952 	5.5
TCP.C6L7.B1 	0.00151675041608 	5.5
TCP.B6L7.B1 	0.00128066993932 	5.5
TCSG.A6L7.B1 	0.00263565955677 	11.0
TCSG.B5L7.B1 	0.00314981670986 	11.0
TCSG.A5L7.B1 	0.00321363474401 	11.0
TCSG.D4L7.B1 	0.00205177149793 	11.0
TCSG.B4L7.B1 	0.00292287213233 	11.0
TCSG.A4L7.B1 	0.00287343391994 	11.0
TCSG.A4R7.B1 	0.00288351291061 	11.0
TCSG.B5R7.B1 	0.00330158718763 	11.0
TCSG.D5R7.B1 	0.0033178606839 	11.0
TCSG.E5R7.B1 	0.00332189745343 	11.0
TCSG.6R7.B1 	0.00453030041171 	11.0
TCLA.A6R7.B1 	0.00212135379022 	13.6
TCLA.B6R7.B1 	0.00386053260321 	13.6
TCLA.C6R7.B1 	0.00376741741685 	13.6
TCLA.D6R7.B1 	0.00246532238483 	13.6
TCLA.A7R7.B1 	0.00245038996591 	13.6
TCTH.4L8.B1 	0.00332477382406 	15.0
TCTVA.4L8.B1 	0.0038286741098 	15.0
TCTH.4L1.B1 	0.00990126843271 	11.1
TCTVA.4L1.B1 	0.0062912562471 	11.1
