name	halfgap[m]	nsigma
TCL.5R1.B1 	0.00295033791018 	10.0
TCTH.4L2.B1 	0.00515859203927 	26.0
TDI.4L2.B1 	0.21 	999.0
TCTVB.4L2 	0.00557528141566 	26.0
TCLIA.4R2 	0.275 	999.0
TCLIB.6R2.B1 	0.194 	999.0
TCP.6L3.B1 	0.00412436988407 	16.0
TCSG.5L3.B1 	0.00325553189501 	19.6
TCSG.4R3.B1 	0.00225548317 	19.6
TCSG.A5R3.B1 	0.00291393807045 	19.6
TCSG.B5R3.B1 	0.00329602562761 	19.6
TCLA.A5R3.B1 	0.00644097787873 	21.6
TCLA.B5R3.B1 	0.00597804801981 	21.6
TCLA.6R3.B1 	0.00552326871945 	21.6
TCLA.7R3.B1 	0.0039512632688 	21.6
TCTH.4L5.B1 	0.00892006903965 	10.0
TCTVA.4L5.B1 	0.00566781492314 	10.0
TCL.5R5.B1 	0.00295393181482 	10.0
TCDQA.A4R6.B 	0.00629279860767 	12.6
TCDQA.B4R6.B 	0.00636308377045 	12.6
TCSG.4R6.B1 	0.00618523710686 	12.1
TCP.D6L7.B1 	0.00109366085717 	5.5
TCP.C6L7.B1 	0.00151675677865 	5.5
TCP.B6L7.B1 	0.00128066233537 	5.5
TCSG.A6L7.B1 	0.00263559248384 	11.0
TCSG.B5L7.B1 	0.00314978125745 	11.0
TCSG.A5L7.B1 	0.00321364550703 	11.0
TCSG.D4L7.B1 	0.00205177877127 	11.0
TCSG.B4L7.B1 	0.00292287550488 	11.0
TCSG.A4L7.B1 	0.00287339278373 	11.0
TCSG.A4R7.B1 	0.00288354866352 	11.0
TCSG.B5R7.B1 	0.00330165848485 	11.0
TCSG.D5R7.B1 	0.00331783469396 	11.0
TCSG.E5R7.B1 	0.0033218703916 	11.0
TCSG.6R7.B1 	0.00453031296244 	11.0
TCLA.A6R7.B1 	0.00212136256324 	13.6
TCLA.B6R7.B1 	0.00386053382195 	13.6
TCLA.C6R7.B1 	0.00376743023417 	13.6
TCLA.D6R7.B1 	0.00246532532809 	13.6
TCLA.A7R7.B1 	0.00245038370963 	13.6
TCRYO.8R7.B1 	0.00130150412277 	10.0
TCRYO.10R7.B 	0.00147322407005 	10.0
TCTH.4L8.B1 	0.00576294197064 	26.0
TCTVB.4L8 	0.0061751063348 	26.0
TCTH.4L1.B1 	0.00892006903965 	10.0
TCTVA.4L1.B1 	0.00566781492314 	10.0
