x	Curve1
0.0917431	-2.01472
0.397554	-2.0142
0.703364	-2.01369
1.00917	-2.01318
1.31498	-2.01267
1.6208	-2.01216
1.92661	-2.01165
2.23242	-2.01114
2.53823	-2.01062
2.84404	-2.01011
3.14985	-2.0096
3.45566	-2.00909
3.76147	-2.00858
4.06728	-2.00807
4.37309	-2.00755
4.6789	-2.00704
4.98471	-2.00653
5.29052	-2.00602
5.56575	-1.99069
5.87156	-1.99761
6.11621	-1.98977
6.42202	-1.98926
6.72783	-1.99618
7.00306	-1.98828
7.27829	-1.98782
7.5841	-1.99475
7.85933	-1.98685
8.16514	-1.98634
8.44037	-1.98588
8.7156	-1.99285
8.99083	-1.98496
9.29664	-1.99188
9.54128	-1.99147
9.84709	-1.99096
10.1223	-1.98307
10.4281	-1.98256
10.6728	-1.98215
10.9786	-1.98163
11.2538	-1.98861
11.5596	-1.98066
11.8349	-1.9802
12.1101	-1.97974
12.3853	-1.97928
12.6606	-1.97882
12.9664	-1.98574
13.211	-1.99277
13.5168	-1.99226
13.8226	-1.99175
14.1284	-1.99123
14.4343	-1.99072
14.7401	-1.99021
15.0459	-1.9897
15.3517	-1.98919
15.6575	-1.98868
15.9633	-1.98817
16.2691	-1.98765
16.5749	-1.98714
16.8807	-1.98663
17.1865	-1.98612
17.4924	-1.98561
17.7982	-1.9851
18.104	-1.98458
18.4098	-1.98407
18.7156	-1.98356
19.0214	-1.98305
19.3272	-1.98254
19.633	-1.98203
19.9388	-1.98151
